ETER_ID,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,Url,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021,error
IT0069,"Università degli Studi di ROMA ""Foro Italico""",public,University,No,www.uniroma4.it,ITI4,Lazio,Lazio,ITI43,Roma,Roma,"Message: unknown error: net::ERR_CONNECTION_REFUSED
  (Session info: chrome=131.0.6778.267)
Stacktrace:
	GetHandleVerifier [0x00007FF63AFE80D5+2992373]
	(No symbol) [0x00007FF63AC7BFD0]
	(No symbol) [0x00007FF63AB1590A]
	(No symbol) [0x00007FF63AB13061]
	(No symbol) [0x00007FF63AB03BD9]
	(No symbol) [0x00007FF63AB0592F]
	(No symbol) [0x00007FF63AB03E9F]
	(No symbol) [0x00007FF63AB0371D]
	(No symbol) [0x00007FF63AB0363A]
	(No symbol) [0x00007FF63AB01251]
	(No symbol) [0x00007FF63AB01B1C]
	(No symbol) [0x00007FF63AB189DA]
	(No symbol) [0x00007FF63ABB038E]
	(No symbol) [0x00007FF63AB8F36A]
	(No symbol) [0x00007FF63ABAF584]
	(No symbol) [0x00007FF63AB8F113]
	(No symbol) [0x00007FF63AB5A918]
	(No symbol) [0x00007FF63AB5BA81]
	GetHandleVerifier [0x00007FF63B046A2D+3379789]
	GetHandleVerifier [0x00007FF63B05C32D+3468109]
	GetHandleVerifier [0x00007FF63B050043+3418211]
	GetHandleVerifier [0x00007FF63ADDC78B+847787]
	(No symbol) [0x00007FF63AC8757F]
	(No symbol) [0x00007FF63AC82FC4]
	(No symbol) [0x00007FF63AC8315D]
	(No symbol) [0x00007FF63AC72979]
	BaseThreadInitThunk [0x00007FFD90377374+20]
	RtlUserThreadStart [0x00007FFD9055CC91+33]
"
IT0138,"Accademia delle Belle Arti legalmente riconosciuta di VERONA ""Cignaroli""",private,Other,No,www.accademiacignaroli.it,ITH3,Veneto,Veneto,ITH31,Verona,Verona,"Message: unknown error: net::ERR_CONNECTION_RESET
  (Session info: chrome=131.0.6778.267)
Stacktrace:
	GetHandleVerifier [0x00007FF63AFE80D5+2992373]
	(No symbol) [0x00007FF63AC7BFD0]
	(No symbol) [0x00007FF63AB1590A]
	(No symbol) [0x00007FF63AB13061]
	(No symbol) [0x00007FF63AB03BD9]
	(No symbol) [0x00007FF63AB0592F]
	(No symbol) [0x00007FF63AB03E9F]
	(No symbol) [0x00007FF63AB0371D]
	(No symbol) [0x00007FF63AB0363A]
	(No symbol) [0x00007FF63AB01251]
	(No symbol) [0x00007FF63AB01B1C]
	(No symbol) [0x00007FF63AB189DA]
	(No symbol) [0x00007FF63ABB038E]
	(No symbol) [0x00007FF63AB8F36A]
	(No symbol) [0x00007FF63ABAF584]
	(No symbol) [0x00007FF63AB8F113]
	(No symbol) [0x00007FF63AB5A918]
	(No symbol) [0x00007FF63AB5BA81]
	GetHandleVerifier [0x00007FF63B046A2D+3379789]
	GetHandleVerifier [0x00007FF63B05C32D+3468109]
	GetHandleVerifier [0x00007FF63B050043+3418211]
	GetHandleVerifier [0x00007FF63ADDC78B+847787]
	(No symbol) [0x00007FF63AC8757F]
	(No symbol) [0x00007FF63AC82FC4]
	(No symbol) [0x00007FF63AC8315D]
	(No symbol) [0x00007FF63AC72979]
	BaseThreadInitThunk [0x00007FFD90377374+20]
	RtlUserThreadStart [0x00007FFD9055CC91+33]
"
IT0125,"Accademia delle Belle Arti legalmente riconosciuta di MILANO ""ACME""",private,Other,No,www.acmemilano.it,ITC4,Lombardia,Lombardia,ITC4C,Milano,Milano,"Alert Text: Alcuni file sul server potrebbero essere mancanti o errati. Cancellate la cache del browser e riprovate. Se il problema persiste, contattate l'autore del sito Web.
Message: unexpected alert open: {Alert text : Alcuni file sul server potrebbero essere mancanti o errati. Cancellate la cache del browser e riprovate. Se il problema persiste, contattate l'autore del sito Web.}
  (Session info: chrome=131.0.6778.267)
Stacktrace:
	GetHandleVerifier [0x00007FF63AFE80D5+2992373]
	(No symbol) [0x00007FF63AC7BFD0]
	(No symbol) [0x00007FF63AB1590A]
	(No symbol) [0x00007FF63ABB012B]
	(No symbol) [0x00007FF63AB8F113]
	(No symbol) [0x00007FF63AB5A918]
	(No symbol) [0x00007FF63AB5BA81]
	GetHandleVerifier [0x00007FF63B046A2D+3379789]
	GetHandleVerifier [0x00007FF63B05C32D+3468109]
	GetHandleVerifier [0x00007FF63B050043+3418211]
	GetHandleVerifier [0x00007FF63ADDC78B+847787]
	(No symbol) [0x00007FF63AC8757F]
	(No symbol) [0x00007FF63AC82FC4]
	(No symbol) [0x00007FF63AC8315D]
	(No symbol) [0x00007FF63AC72979]
	BaseThreadInitThunk [0x00007FFD90377374+20]
	RtlUserThreadStart [0x00007FFD9055CC91+33]
"
